Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
267;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;1;4;1;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;5;2.513333333;33.78533333;19.24066667;16.23857143;4.107;35.00866667;31.67266667
271;BGM-0211;9;5;5;5;3;6;3;7;4;4;1;3;0;5;3;7;5;1;2;1;2;2;1;2;7;5;2;1;3;5;1;7;100;3;3;1;19.68;6.3;3.125092963;33.32;2.69;30.22222222;59.32888889;3.777777778;1.995333333;15.78933333;16.79733333;12.20857143;6.19;53.36933333;32.736
279;BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;NA;2;3;0;3;0;3;3;2;5;0;5;NA;NA;10.74;2.66;4.187824807;14.14;NA;NA;NA;NA;2.746666667;44.21333333;28.77333333;24.6;4.735;38.86333333;31.62333333
280;BGM-0222;5;3;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;1;2;3;3;3;3;0;4;3;2;5;80;3;2;1.35;8.14;2.74;2.978953704;10.48;2.93;26.04166667;59.5775;4.166666667;1.971538462;15.70230769;15.91461538;13.75363636;3.697272727;46.74615385;34.10076923
282;BGM-0232;7;9;5;9;2;5;4;7;4;2;1;5;1;2;3;7;5;1;1;1;2;1;NA;2;7;0;3;0;3;3;1;5;100;1;NA;NA;9.62;3.42;2.828188907;10.84;NA;NA;NA;NA;3.07;54.5;26.48;22.72666667;3.37;34.01;38.39333333
287;BGM-0239;5;3;5;3;3;9;2;3;4;1;2;5;0;4;7;7;5;1;1;2;2;3;1;2;7;5;2;0;3;3;2;5;110;5;8;1.125;13.58;1.44;9.660239956;17.86;2.106666667;25.875;54.84333333;2.375;1.875714286;22.29214286;9.815;7.098333333;2.273636364;30.185;33.47583333
293;BGM-0248;7;1;5;3;2;8;4;3;4;3;2;3;1;5;3;7;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;7;90;3;4;1;11.64;3.84;3.066485059;17.82;2.306666667;27.44444444;52.17444444;5;2.116666667;16.09333333;12.28666667;7.874545455;6.76;41.215;33.07272727
298;BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;5;4;1.833333333;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;6.111111111;2.1375;17.61416667;20.12416667;14.99818182;8.197142857;50.07;36.75333333
299;BGM-0255;5;7;3;3;3;9;3;3;4;3;1;5;1;5;3;7;5;1;2;1;3;2;NA;3;7;5;3;1;4;7;1;5;90;5;8;NA;10.88;2.92;3.736753813;11.6;NA;NA;NA;NA;2.23;36.59;14.49333333;10.35666667;3.12;29.25666667;28.10666667
303;BGM-0263;7;5;5;7;3;6;NA;5;4;2;1;3;1;5;NA;3;5;NA;3;1;2;NA;NA;3;7;5;2;0;4;7;1;7;60;3;NA;NA;10;2.6;3.846153846;14.1;NA;NA;NA;NA;2.288333333;19.24166667;3.96;0.892;1.475;14.612;27.5625
