Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
372;BGM-0369;5;5;5;3;3;9;3;3;4;3;1;5;1;5;3;7;5;1;2;1;2;1;2;2;7;5;3;0;4;3;2;5;100;5;4;1.285714286;15.4;5.36;2.87972565;23.54;2.906666667;29.5;63.3275;5.333333333;2.160769231;20.19615385;25.33769231;19.81;6.385833333;53.24615385;34.14692308
382;BGM-0386;3;7;5;5;2;7;1;5;1;1;1;5;1;5;3;7;5;1;1;1;3;1;1;2;3;3;3;0;4;3;3;5;90;1;6;1.714285714;16.04;4.38;3.685203803;26.46;2.583333333;24.75;57.55;4.333333333;2.52;28.85846154;16.54153846;10.95583333;5.7725;35.77923077;35.28076923
393;BGM-0405;7;5;5;5;3;8;2;3;3;1;1;5;0;5;3;3;5;1;3;1;3;0;NA;2;7;3;2;0;4;3;3;7;90;5;NA;NA;14.74;4.32;3.439026049;24.06;NA;NA;NA;NA;2.72;45.22166667;40.13333333;33.77833333;7.055;46.935;39.97
400;BGM-0413;3;5;5;5;3;9;4;5;3;1;1;5;1;5;3;3;5;1;2;1;2;3;2;1;7;5;2;1;4;3;3;7;90;3;8;1.142857143;9.9;2.84;3.494573141;12.8;2.246666667;27.20833333;66.05333333;2.541666667;1.859285714;12.79285714;11.32928571;7.786923077;3.876153846;44.27357143;33.53615385
406;BGM-0422;5;5;5;3;3;9;2;3;4;1;1;5;1;7;3;3;5;1;1;1;2;2;1;2;7;3;2;1;3;3;2;5;100;3;6;1.8;12.58;2.98;4.22192928;17.52;2.183333333;20.25;54.49;2.291666667;2.127647059;21.99941176;21.74823529;18.31428571;4.259285714;46.17294118;35.24647059
410;BGM-0426;5;5;5;3;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;2;NA;2;2;7;5;2;1;4;3;1;7;100;5;8;1.555555556;14.98;4.52;3.316509882;23.66;2.15;25.9975;62.31666667;2.498333333;1.791363636;20.62772727;23.21272727;17.87238095;5.951;50.35727273;33.78761905
413;BGM-0432;7;1;5;3;3;6;2;3;4;1;1;3;0;5;3;3;5;1;1;1;3;1;2;2;7;5;3;1;4;7;1;7;90;3;4;1;17.86;4.72;3.796659783;23.8;1.8;34;82.11;4;2.248181818;32.70454545;31.83454545;27.498;7.385;49.02;36.28545455
418;BGM-0438;7;7;5;3;3;7;1;5;3;1;1;3;1;2;3;3;5;1;1;1;2;2;2;2;7;3;2;0;4;3;1;3;90;5;3;1.142857143;17.92;5.18;3.461382957;22.94;2.033333333;24.75;47.06666667;5.25;1.909166667;16.4425;19.76666667;11.42909091;9.33;50.99272727;34.83916667
420;BGM-0440;5;5;5;5;3;5;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;7;2;5;0;5;8;1.444444444;15.82;2.1;7.544771018;24.68;2.173333333;29.12416667;67.64333333;3.500833333;1.732777778;12.19777778;16.14666667;12.91176471;3.33625;55.07;33.29764706
430;BGM-0454;5;5;5;3;3;6;3;3;4;1;1;5;1;5;3;7;5;1;2;1;2;1;2;1;7;0;3;0;4;3;1;5;90;5;8;2;14.96;5;2.999132874;27.34;2.816666667;33.66666667;75.22;4.333333333;1.662;19.646;10.63;3.2325;4.7825;29.268;31.8225
