Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
353;BGM-0378;7;7;5;7;2;4;1;5;3;1;1;3;1;5;3;3;5;1;1;1;2;2;1;2;7;3;3;0;3;3;2;5;80;16.94;6.14;2.768098135;28.36;2.746666667;31.63333333;58.43;5.15411024999123;2.06925494828223;2.05804315090305;9.20826390534339;4.12520895881687;2.96622401133122;4.98260318685932;33.8490975198205;17.7092570211841;20.736708151535;45.9612916968184;1.98603722613664
355;BGM-0382;7;7;5;7;2;4;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;1;2;7;5;3;0;3;7;2;5;0;18.94;5.78;3.280429412;27.62;3.023333333;22;75.59333333;4.28434784825581;2.1019955909823;2.05804315090305;8.29459877752967;4.35679987959691;2.8780721794746;7.68609828941294;34.7185176333722;29.8611814783604;21.5167908874214;54.2937345172932;1.90836328284624
358;BGM-0386;3;7;5;5;2;7;1;5;1;1;1;5;1;5;3;7;5;1;1;1;3;1;1;2;3;3;3;0;4;3;3;5;90;16.04;4.38;3.685203803;26.46;2.583333333;24.75;57.55;6.12169920311095;2.57326071408994;2.13350713105774;8.96662995205844;4.05869954389622;2.48341472019041;5.153650513976;36.0699320126252;16.7460002465355;28.1861023726142;35.9104798279531;2.44485931901777
363;BGM-0394;7;7;5;7;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;1;0;1;2;7;3;3;0;3;3;1;7;0;15.14;3.4;4.474551282;23.24;1.713333333;34.33333333;62.74333333;6.18753892481935;2.17192692010401;2.05804315090305;10.3847619763354;5.77942982153146;3.55455796772472;8.39541962019621;34.7768359781598;31.9369539580819;26.9926554327829;50.9008629550523;2.47877920894082
365;BGM-0396;5;7;5;7;3;3;2;5;1;3;1;5;1;5;3;7;5;1;1;1;3;1;2;2;3;3;3;0;4;3;3;5;90;10.92;3.02;3.617936353;13.3;2.21;29.20833333;60.46916667;6.79791431380535;2.31677501366101;1.76560893823576;8.96662995205844;4.27851759826525;3.4188371720036;6.4850969771052;35.6775093127523;24.1967404070951;21.7010547223359;50.7233056827196;2.06218965171056
368;BGM-0400;5;1;5;3;2;3;2;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;3;5;3;1;4;3;3;5;100;11.82;4.16;2.845564581;14.8;2.3;24.5;61.855;6.16294112383206;2.31677501366101;2.06497897104695;8.96662995205844;4.3683562813552;2.68020785097724;6.9260515962547;36.0213488029429;19.9680971679836;22.1727144699581;47.3111854863422;2.07445905105838
377;BGM-0414;3;3;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;3;2;1;2;7;5;3;0;4;3;3;5;90;18.28;4.8;3.806962188;27.8;2.396666667;17.875;67.94916667;5.66882186595764;2.03828141257978;1.94955803464675;8.96662995205844;3.49099552522143;3.5223166718944;6.17805167100726;34.2318202556154;20.6157651465922;18.3757205069682;54.3420197605039;1.93402275513977
379;BGM-0419;7;7;3;5;2;3;2;5;4;4;2;3;0;5;7;3;5;1;2;1;3;3;2;3;7;5;3;1;4;7;1;7;100;15.38;4.28;3.627276856;25.62;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.06529597466545;4.03559442651072;3.93246667943954;4.95858527350316;34.7897383592017;15.2360162694748;20.9976394580945;40.7085466393809;2.1347100768407
381;BGM-0421;3;7;5;3;2;9;4;5;4;1;1;5;1;5;1;7;5;1;1;1;3;1;2;1;7;0;3;1;4;3;2;5;90;12.68;3.14;4.040826508;13.52;2.273333333;19.70833333;53.05166667;5.60961200889246;2.07779237019031;1.71313666750572;8.96662995205844;4.7659402405618;3.43810942704884;5.77119926155394;35.430523760459;19.021468170194;27.0723869424279;42.3519067525974;2.07762810915767
384;BGM-0424;5;1;5;3;2;6;2;3;2;1;3;5;1;5;3;7;5;1;2;1;3;2;2;2;3;5;3;1;3;3;1;7;110;11.5;3.2;3.599373425;13.42;2.136666667;20.95833333;33.98666667;7.18905182952773;2.0818001001567;2.1964557967279;8.96662995205844;2.87359351164581;3.9062090166345;4.24670947241929;34.6978814533653;10.3521319727171;26.7949291892088;21.9885634358358;2.12163706544214
