Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
577;BGM-0728;7;3;5;3;2;6;2;5;3;1;2;3;1;4;3;3;3;1;1;1;3;3;2;3;7;5;3;1;4;3;3;7;90;16.24;3.26;5.069938621;19.62;2.22;29.33333333;49.66333333;8.10783251204142;3.51479357537154;3.78394749161341;4.72067333074767;36.2537901291781;13.9773790470595;14.9048898893277;45.9228319071933;1.782758195859
583;BGM-0752;7;5;5;5;3;8;2;7;3;2;3;5;1;5;3;3;5;1;2;1;3;1;2;3;7;3;3;1;3;3;1;7;100;13.32;2.76;4.829430285;16.26;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54196005663819;4.07700527295362;33.4263945636157;9.74795803889252;13.312624538253;30.7390263200739;1.93765633405461
588;BGM-0779;7;7;3;3;1;3;4;5;3;2;3;5;0;5;7;7;5;1;1;1;2;3;2;2;7;5;2;1;4;3;1;5;90;16.02;4.36;3.675264271;20.94;3.89;24.20833333;58.08166667;6.87135119451025;5.54840540741739;3.91458518334804;4.871867864929;35.0905813333078;15.9318242744112;16.8343376834516;46.9057876012737;1.8895281436972
610;BGM-0815;7;9;5;7;3;8;2;5;3;1;2;3;1;5;3;3;3;1;2;1;2;1;2;3;7;5;3;0;3;3;2;5;100;16.26;5.24;3.108201539;25.9;1.13;34.33333333;53.11;7.92142180354263;5.14773524463801;3.37445980444484;6.2027103191396;37.895736708546;25.0944667004903;27.2387788099197;48.9125581836368;2.08084555362314
619;BGM-0829;5;2;5;3;3;7;1;3;1;3;1;5;1;5;3;7;5;1;2;1;2;1;2;4;3;3;3;0;4;3;2;5;100;14.6;3.54;4.138018557;20.06;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.61510697608854;4.88067989239277;32.8346968542224;14.5632813759734;16.9596305136644;46.7926865253286;1.65769150869756
620;BGM-0830;5;5;5;3;3;8;2;5;1;1;1;5;1;5;3;7;5;1;1;1;2;2;2;2;3;5;2;0;4;3;1;5;90;19.28;5.88;3.285380264;33.42;2.186666667;27.91666667;54.04833333;3.76742459360077;3.69948509877458;2.92683333692831;4.49143701343178;33.1721759817477;15.078518132753;16.8460654520831;47.3062903983337;1.94541955568368
639;BGM-0858;7;7;5;5;2;6;1;5;1;3;1;5;1;3;3;3;5;1;1;1;2;2;2;2;3;5;3;1;4;3;3;5;90;14.14;2.18;6.54465368;20.52;3.1;27.83333333;84.70666667;7.53939793661199;3.8241757324337;3.32376866481946;5.52685906827561;34.9108272110907;18.372123917692;16.3717315388326;53.24823073579;1.76548722171224
640;BGM-0859;5;7;5;5;3;9;3;7;4;1;1;5;1;5;3;7;5;1;2;1;3;1;2;2;7;3;3;0;4;3;2;5;110;14.54;3.98;3.655928597;19.18;2.18;21.20833333;54.58166667;3.52267266840103;4.92708892696352;3.43567327876145;5.25047575647708;36.7897941774509;16.8586928501046;20.0718140680291;46.4320061478375;2.02766707590541
647;BGM-0872;5;3;5;3;3;9;2;5;4;2;3;7;0;5;3;3;5;1;1;1;2;1;1;1;7;5;3;0;4;3;3;5;80;14.74;4.42;3.347812677;23.16;2.423333333;26.41666667;70.39666667;5.89732281911195;3.29372312958398;3.21628511709059;4.96513179281298;32.658429602644;16.9674258932615;14.8143562754746;53.7177354540703;1.81506858460598
652;BGM-0878;9;5;5;3;2;3;4;5;2;2;3;3;0;5;3;3;5;1;1;1;3;1;2;2;3;5;3;1;4;7;3;7;100;13.52;4.26;3.186071362;16.4;2.263333333;28;57.935;8.09582306029397;3.24454151063157;4.11948853092639;6.21528722184035;36.2466027101858;15.9418578275926;13.8026184906519;51.28189601849;1.60304883443516
664;BGM-0894;7;3;5;3;3;9;3;5;4;1;1;5;1;5;3;3;5;2;1;1;1;1;2;2;7;5;3;0;3;3;1;7;80;14.62;4.28;3.415795832;22.84;2.033333333;21.33333333;51.13666667;6.1818970000718;5.16844684585633;3.73518791591394;4.87100627592561;34.0199649602073;16.9941703003458;18.0409067354011;47.8132986208444;1.78237906962431
671;BGM-0903;5;7;5;3;2;5;3;5;4;1;1;5;0;5;1;3;5;1;3;1;2;3;2;3;7;5;3;0;4;3;2;7;90;15.64;2.78;5.666385642;20.4;2.763333333;21.91666667;64.9225;8.06714500606704;4.34197614417744;2.8600078679015;6.57801672917464;36.105988496354;21.3749597125005;20.555699631485;51.3499918277312;2.23943735174535
699;BGM-0941;5;3;3;3;1;3;1;5;3;2;3;5;0;5;3;7;5;1;1;1;3;2;2;2;7;3;3;0;4;3;3;5;90;14.56;3.32;4.403015871;18.88;4.296666667;24.08333333;76.80333333;8.00296592756622;3.54129506934597;3.75998833458219;6.70577071037305;32.5647354192732;19.5187893598595;18.7641834327306;45.2928732976895;1.90246670681935
702;BGM-0944;5;5;5;3;1;5;3;3;4;4;3;5;0;5;3;7;5;1;1;1;2;2;1;2;7;5;3;0;3;3;1;5;90;13.4;3.64;3.682525431;18.62;3.6;29.83333333;81.78666667;7.9336650577693;4.03559442651072;2.88425429903927;6.6521876093622;35.5320707991336;23.2230754612798;24.5825137605623;45.1914632283821;2.20257096144204
703;BGM-0945;5;5;5;3;3;9;3;5;4;2;3;3;0;5;7;7;5;1;1;1;3;3;2;2;7;0;2;1;3;3;1;5;90;13.62;3.38;4.035099034;16.66;2.183333333;24.72916667;56.33833333;8.1087354072281;3.58512899680462;3.42329869265099;4.78757043228086;34.9007414174194;13.5006267583549;22.1443816510669;36.5439014937527;2.25888088763146
706;BGM-0948;3;1;5;3;2;3;4;3;4;1;1;5;0;5;7;7;5;1;1;1;2;2;2;2;7;5;3;0;3;3;1;5;90;16.84;3.68;4.59929759;23.04;1.893333333;20.20833333;53.42166667;8.03181092769069;3.93314464452554;3.68666973376874;5.12594839378725;35.6931644906297;15.0920379985542;20.5837646503177;36.8249012546566;2.16845979478148
707;BGM-0949;5;3;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;1;1;2;2;2;2;7;5;3;0;3;3;2;5;90;10.54;3.14;3.40521268;17.64;2.726666667;20.66583333;56.32166667;8.10473086270483;3.17540123605762;3.4805511911926;5.29033084270436;36.1588933860076;15.1625981439195;20.6946289921926;37.7297615055605;2.00184552815996
