Acessos,CorFolhaApical,CorPeciolo,CorFolhaDesenv,CorNerv,CorCortexCaule,CorExternaCaule,CorEpidCaule,CorRamosTerm,CorExternaRzs,CorCortexRzs,CorPolpaRzs,NLobulos,Pubescencia,FormaLobuloCentral,PosicaoPeciolo,Sinuosidade,ComprEstip,HabCrescCaule,TipoPlan,MargEstip,HabRamif,NiveisRam,ProemCicatrizesFolhas,FormaRzs,TxtEpidermeRzs,PresPedunculoRzs,PosicaoRzs,Flowering,DestqPelicRz,DestqCortexRz,ConstrRzs,ComprFilotaxia,AnguloRamif,ComprLobulo,LargLobulo,RelComprLar,ComprPeciolo,EspEntreCasca,ComprMedRzs,DiamMedRzs
BGM-2179,5,7,3,5,3,9,4,5,4,3,1,5,1,1,3,3,3,1,1,2,2,2,1,3,7,3,3,0,3,3,3,5,90,14.66,4.72,3.110657272,19.48,1.841666667,30.45833333,61.06583333
BGM-2180,5,9,9,7,3,9,3,5,4,3,1,3,1,4,3,7,5,1,1,1,1,0,NA,2,7,0,3,0,3,3,1,3,0,12.66,2.2,5.760718991,15.5,2.096666667,14,54.95333333
BGM-2181,5,1,5,3,3,5,3,3,4,NA,NA,3,1,2,7,3,5,1,2,1,2,3,NA,3,7,5,3,1,3,3,2,7,100,17.08,4.86,3.514764451,21.06,2.143333333,20.66666667,65.67
BGM-2182,5,7,5,9,3,9,3,7,4,3,1,5,1,4,3,7,5,1,1,1,2,1,2,2,7,3,2,0,3,3,3,5,90,18.96,2.56,7.487536232,22.5,1.17,23.33333333,43.11222222
BGM-2183,5,7,5,3,3,9,3,3,4,4,1,5,1,4,3,3,5,1,1,1,1,0,2,2,7,0,3,0,3,3,1,5,0,13.98,2.38,5.886724638,19.1,1.773333333,16.77777778,45.53777778
BGM-2184,7,5,7,3,3,6,2,3,1,1,1,5,1,9,3,7,5,1,1,1,1,0,2,4,3,5,3,0,4,3,3,5,0,20.7,2.82,7.372102122,24.6,2.22,20.55555556,61.00666667
BGM-2185,7,7,5,5,3,9,3,5,4,4,1,5,0,5,3,7,5,1,1,1,2,1,2,2,7,5,3,0,3,3,1,7,70,17.36,5.28,3.288058415,21.64,2.06,21.33333333,50.24
BGM-2186,7,5,5,5,3,6,2,5,4,4,1,5,0,5,3,7,5,1,1,1,2,2,2,2,7,5,3,1,3,3,1,5,90,17.48,5.16,3.407454757,25.34,1.91,23.77777778,51.16666667
BGM-2187,3,5,5,3,3,8,2,5,4,3,2,5,1,5,3,7,5,1,2,1,2,1,1,3,7,0,3,1,4,NA,2,5,90,18.92,3.9,4.85018181,25.62,1.25,31,64.46
BGM-2188,5,5,5,5,3,6,2,5,4,1,2,5,1,5,3,7,5,1,1,1,1,0,2,2,7,5,3,0,4,NA,1,5,0,15.56,4.22,3.713559001,24.98,2.283333333,28,54.00666667
BGM-2189,7,5,5,5,2,5,4,5,4,3,1,3,0,5,3,7,5,1,2,1,3,1,2,2,7,0,3,0,4,3,2,3,90,18,5.1,3.547155614,24.82,1.776666667,30.66666667,53.63666667
BGM-2191,5,5,5,3,2,9,2,5,4,1,2,7,1,6,3,3,5,1,2,1,2,3,2,2,7,5,3,1,3,NA,1,7,90,22.38,2.44,9.253246752,25.26,1.44,28.33333333,50.68333333
BGM-2192,7,5,5,3,3,9,2,3,4,1,1,3,1,5,3,7,5,1,1,1,2,1,1,3,7,5,2,0,4,NA,2,3,90,14.74,3.82,3.859163449,22.32,1.61,23,66.64333333
BGM-2193,3,3,5,3,2,5,4,3,4,1,1,5,1,5,3,7,5,1,1,1,1,1,NA,2,7,0,NA,1,3,NA,2,5,0,15.42,4.08,3.847834227,20.78,NA,NA,NA
BGM-2194,3,7,5,3,3,8,3,3,4,2,1,7,1,5,3,3,5,1,1,1,2,1,NA,2,7,0,2,0,4,NA,3,5,90,15.54,4,3.898540627,24.84,NA,NA,NA
BGM-2195,7,3,5,5,2,4,2,5,4,1,1,5,1,2,3,3,3,1,2,1,3,2,1,2,7,5,2,1,4,3,2,3,110,16.88,5.44,3.107387246,25.46,2.48,31.33333333,55.46666667
BGM-2196,5,5,5,3,2,5,2,5,4,3,1,5,1,5,7,7,5,1,1,1,2,2,2,2,7,0,2,1,3,3,2,5,90,23.44,3.5,6.724739652,26.68,1.59,33.33333333,53.96333333
BGM-2198,7,5,5,3,3,6,3,5,4,4,1,5,1,5,3,7,5,1,2,1,3,2,1,3,7,0,3,0,4,NA,2,5,90,14.98,4.1,3.651998477,21.86,1.343333333,27.33333333,59.76333333
BGM-2199,5,5,5,3,3,6,3,5,4,3,1,5,1,5,3,7,5,1,1,1,3,2,NA,2,7,0,2,0,4,NA,3,3,90,17.32,3.72,4.667472339,21.84,NA,NA,NA
BGM-2200,5,5,5,3,3,7,1,3,1,3,1,3,1,5,3,7,5,1,1,1,2,1,1,3,3,0,2,0,3,NA,3,3,90,17.32,5.34,3.247968135,23.84,2.103333333,27.33333333,64.54333333
BGM-2201,7,7,5,5,2,6,4,5,1,1,1,5,1,6,7,3,5,1,1,1,2,1,1,2,3,5,2,0,4,3,2,5,50,14.18,4.54,3.127411067,24.24,1.803333333,21,58.53333333
BGM-2202,7,5,5,3,3,6,3,5,1,1,1,5,1,5,7,7,5,1,1,1,2,1,1,1,3,3,3,0,4,NA,3,3,90,16.22,4,4.073528694,23.84,1.646666667,30,56.64666667
BGM-2204,5,3,3,3,3,9,4,7,4,1,1,5,1,5,7,3,3,1,2,1,2,2,1,2,7,5,3,0,3,3,1,5,100,16.18,5.1,3.172067301,24.58,1.933333333,31.5,51.87
BGM-2205,7,5,5,3,3,8,2,3,4,3,1,1,0,5,3,3,5,1,2,1,2,NA,NA,2,7,0,NA,1,4,3,2,7,150,17.5,5.96,2.930630111,26.3,NA,NA,NA
BGM-2206,7,5,5,3,3,8,2,3,4,3,1,1,0,5,3,3,5,1,2,1,2,NA,1,2,7,0,3,1,3,NA,1,7,130,14.3,5,2.866483846,17.62,1.353333333,17.33333333,44.11333333
