PLOT ;Ano;Campo;Local;Genotipos-BGM-;Genotipos;Bloco;PRC;PTR;"Peso da parte aerea			|CO_334:0000016";IC;"Altura de planta			|CO_334:0000018";"Altura de planta sem folha			|CO_334:0000125";NMa ;DMC (specific gravimetry);HCN (Lab);PROD-AMD;"Porte de planta			|CO_334:0000099";PRNC;Vigor;"Retencao foliar			|CO_334:0000048";"Numero de raiz			|CO_334:0000011";Peso raiz ;Teor de amido Corrigido;DMC Forno;"HCN-1			|CO_334:0000091";"HCN-2			|CO_334:0000091";"HCN-3			|CO_334:0000091";"HCN-4			|CO_334:0000092";"HCN-5			|CO_334:0000093";"HCN-6			|CO_334:0000094";"HCN-7			|CO_334:0000095";"HCN-8			|CO_334:0000096";"HCN-9			|CO_334:0000097"
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2129;BGM-2129;10;3.24;11.83;5.51;68.22;1.52;-;-;33.63;-;3.43;5;8.59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2130;BGM-2130;10;2.92;18.47;15.19;54.87;1.57;-;-;36.05;-;5.8;5;15.56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2132;BGM-2132;7;10.63;19.99;7.29;73.27;1.4;-;-;32.98;-;5.66;5;9.36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2133;BGM-2133;8;20.59;28.68;11.88;70.72;1.53;-;-;33.96;-;8.41;5;8.09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2134;BGM-2134;7;11.48;19.26;10.21;65.36;1.47;-;-;36.62;-;6.16;5;7.78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2135;BGM-2135;10;2.43;13.37;7.41;64.33;1.58;-;-;33.8;-;3.9;5;10.94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2136;BGM-2136;7;2.43;9.48;7.05;57.35;1.18;-;-;37.98;-;3.16;5;7.05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2137;BGM-2137;10;13.13;13.13;11.67;52.94;1.68;-;-;37.06;-;4.25;5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2138;BGM-2138;7;2.53;12.06;7.97;60.19;1.62;-;-;37.16;-;3.92;5;9.53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2139;BGM-2139;7;8.45;12.21;8.69;58.43;1.73;-;-;34.9;-;3.7;5;3.77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2143;BGM-2143;7;6.26;13.92;8.99;60.74;1.48;-;-;39.08;-;4.79;5;7.66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2145;BGM-2145;7;12.03;18.59;9.6;65.95;1.45;-;-;35.99;-;5.83;5;6.56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2147;BGM-2147;8;7.05;12.76;6.56;66.04;1.32;-;-;35.92;-;3.99;5;5.71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;1;9.72;20.05;9.77;67.25;1.67;-;-;35.09;-;6.1;3;10.33;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;2;6.08;10.59;5.99;63.87;1.23;-;-;35.66;-;3.28;3;4.51;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;3;4.77;11.72;6.86;63.08;1.23;-;-;32.02;-;3.21;3;6.94;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;4;7.74;15.45;7.94;66.05;1.46;-;-;34.19;-;4.57;3;7.71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;5;9.72;19.97;12.76;61.01;1.87;-;-;36.12;-;6.28;3;10.24;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;6;5.56;12.22;8.06;60.27;1.23;-;-;33.82;-;3.57;3;6.67;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;7;9.72;16.58;6.68;71.27;1.37;-;-;31.86;-;4.51;3;6.86;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;Coopamido (Laje);BGM-2148;BGM-2148;8;7.29;13.89;8.51;62.02;1.63;-;-;34.73;-;4.18;3;6.6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2149;BGM-2149;8;2.78;12.08;8.82;57.81;1.32;-;-;35.72;-;3.75;5;9.31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2154;BGM-2154;10;2.43;15.56;8.26;65.31;1.3;-;-;38.94;-;5.33;5;13.13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2155;BGM-2155;10;22.36;26.49;19.57;57.52;1.7;-;-;35.6;-;8.2;5;4.13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2156;BGM-2156;10;6.08;7.6;7.6;50;1.47;-;-;38.42;-;2.57;3;1.52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
