Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
390;BGM-0398;9;5;5;3;3;6;2;3;4;1;1;5;0;2;3;3;5;1;1;1;1;0;2;3;7;5;3;0;4;3;2;3;0;3;8;2.428571429;12.74;3.34;3.818150988;18.88;2.78;22.875;61.83333333;4.5;2.158333333;29.93583333;19.1075;12.88818182;5.879;38.82083333;32.53166667
394;BGM-0406;7;7;5;5;3;9;2;5;4;2;1;5;1;5;3;7;5;1;2;1;1;0;2;2;7;3;3;0;3;3;1;5;0;5;NA;2.333333333;16.3;4.04;4.057041773;24.32;2.583333333;26.66666667;62.55666667;6.333333333;2.196666667;29.04266667;28.82066667;22.49357143;6.621;49.60533333;35.60285714
397;BGM-0409;7;5;5;3;2;7;NA;5;2;1;1;5;1;6;3;3;5;1;1;1;NA;3;NA;3;7;5;3;0;4;7;2;5;80;5;NA;NA;12.9;2.8;4.607142857;21.4;NA;NA;NA;NA;1.77;33.19;16.93;10.44333333;7.99;32.91333333;33.57
401;BGM-0414;3;3;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;3;2;1;2;7;5;3;0;4;3;3;5;90;3;6;1.666666667;18.28;4.8;3.806962188;27.8;2.396666667;17.875;67.94916667;4.375;1.872;16.812;18.602;9.986666667;8.98;54.344;32.913
408;BGM-0424;5;1;5;3;2;6;2;3;2;1;3;5;1;5;3;7;5;1;2;1;3;2;2;2;3;5;3;1;3;3;1;7;110;5;8;1.714285714;11.5;3.2;3.599373425;13.42;2.136666667;20.95833333;33.98666667;1.625;2.073636364;26.97545455;6.11;2.467;3.475;16.80818182;33.678
409;BGM-0425;7;1;5;3;3;8;1;3;4;1;1;5;1;5;3;3;5;1;3;1;3;1;2;2;7;5;2;0;4;5;1;5;70;3;8;1.4;14.44;3.76;3.846090253;13.56;2.436666667;27.44444444;71.48777778;4.788888889;2.450769231;37.11692308;24.65230769;21.61;5.507142857;40.25769231;39.80384615
423;BGM-0443;7;5;5;3;3;9;3;5;4;3;1;3;1;5;7;3;3;1;1;1;3;3;1;3;7;3;3;1;3;3;2;5;80;5;2;1.4;13.18;3.82;3.499820691;19.06;1.573333333;22.01111111;50.73444444;4.111111111;2.155833333;16.57166667;6.895;3.72;4.041428571;28.2575;41.37375
430;BGM-0454;5;5;5;3;3;6;3;3;4;1;1;5;1;5;3;7;5;1;2;1;2;1;2;1;7;0;3;0;4;3;1;5;90;5;8;2;14.96;5;2.999132874;27.34;2.816666667;33.66666667;75.22;4.333333333;1.662;19.646;10.63;3.2325;4.7825;29.268;31.8225
431;BGM-0456;7;5;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;2;1;3;2;1;1;7;5;3;0;4;7;1;7;80;1;NA;3;15.56;5.48;2.853416723;24.64;2.803333333;26;43.54333333;2.666666667;2.406;32.812;17.17;12.05;6.04;29.61;31.935
433;BGM-0461;5;5;5;3;3;3;4;5;4;3;1;5;1;5;7;7;5;1;2;1;2;3;2;3;7;3;3;1;3;3;3;5;100;5;2;1.142857143;15.14;4.36;3.485716925;17.44;2.256666667;22.41666667;50.1475;2.333333333;1.709166667;16.32166667;5.926666667;2.326363636;2.282727273;24.1325;33.131
